cod_provin,provincia,cod_canton,canton,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020
1,San José,112,Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,5,6,8,8,8,18,21,21,24,24,26,26
1,San José,110,Alajuelita,12,11,11,11,11,11,9,9,9,9,8,8,8,7,7,6,6,6,4,4,4,4,4,4,3,2,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,3,3,3,3,6,5,9,9,12,14,16,19,18,19,33,40,37,49,50,56,65,72,78,97,102,107,112,117,145,163,184,177,191,208,217,222,249,288,304,347,371,398,410
1,San José,106,Aserrí,11,10,10,10,11,10,10,10,10,10,10,10,9,9,9,8,7,8,8,8,14,14,14,13,12,13,11,11,11,11,11,11,10,10,10,10,11,11,13,13,13,13,13,13,13,13,17,17,17,17,17,17,18,18,18,18,18,3,3,3,4,4,4,5,5,6,6,9,11,12,13,17,25,27,30,36,52,52,53,57,61,64,65,67,64
1,San José,118,Curridabat,19,19,17,17,16,15,13,12,12,11,11,11,11,11,11,9,10,8,7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,6,6,6,6,5,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,6,6,6,6,5,6,7,8,8,8,9,9,12,14,16,15,22,25,28,36,40,44,61,68,71,75,100,106,109,114,113,135
1,San José,103,Desamparados,45,42,43,41,37,34,33,29,28,28,28,27,27,27,27,28,27,27,27,24,23,23,23,22,23,21,19,19,19,19,18,18,18,15,14,14,14,14,14,14,12,11,8,14,15,15,13,13,11,11,13,14,15,15,14,14,15,15,19,29,36,44,47,54,72,85,91,105,110,134,144,189,200,221,238,250,264,289,316,375,402,402,427,455,468
1,San José,117,Dota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,San José,102,Escazú,16,18,18,18,18,16,16,15,15,14,13,13,13,13,13,13,13,13,13,12,11,9,9,9,9,8,7,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,4,12,12,12,13,13,13,15,16,16,18,20,24,24,29,30,30,33,33,31,35,50,56,58,69,71,71,84,88,93,96,111,117
1,San José,108,Goicoechea,16,15,16,16,17,16,15,16,16,16,16,14,14,16,17,20,19,17,15,15,14,14,14,14,15,15,16,16,16,16,16,17,16,17,17,17,17,18,17,15,15,14,15,15,15,15,17,19,18,20,21,22,23,22,23,25,26,20,23,24,19,19,22,22,17,21,24,23,27,36,38,51,61,70,72,79,92,106,112,137,141,143,149,163,159
1,San José,120,León Cortés Castro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,San José,115,Montes de Oca,14,14,13,12,12,12,11,10,9,7,7,5,6,6,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,1,1,1,1,1,1,1,2,3,4,4,7,9,11,16,25,28,28,32,34,34,37,43,46,46,49,50,54
1,San José,107,Mora,4,4,4,5,6,7,7,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,6,6,5,5,5,5,5,6,6,6,6,6,6,8,8,3,3,4,5,5,7,13,13,15,14,17,20,26,29,30,30,30,30
1,San José,114,Moravia,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,3,4,3,4,6,6,6,5,5,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,1,2,3,4,5,4,4,4,4,4,6,11,12,15,22,22,25,26,29,32,34,40,47,49,46,52,59,55
1,San José,119,Pérez Zeledón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,5,5,6,6,6,8,9,11,11,11,10,10
1,San José,104,Puriscal,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,6,6,6,6,7,8,8,10,11,15,16,16,21,21
1,San José,101,San José,82,85,84,82,74,72,69,67,70,68,63,58,57,55,54,49,49,50,47,43,39,41,43,44,47,54,54,55,60,60,61,60,57,59,60,60,59,56,57,56,55,57,64,65,63,64,67,66,66,65,70,80,83,85,85,75,67,72,76,77,84,99,105,121,141,164,193,221,259,287,321,381,451,490,562,694,743,803,866,1054,1150,1236,1341,1464,1577
1,San José,109,Santa Ana,23,22,21,21,19,19,18,19,20,20,18,18,15,15,10,10,10,10,8,8,8,8,8,8,9,8,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,5,5,5,6,5,4,5,5,5,4,4,6,9,10,10,10,11,12,15,19,20,20,23,25,34,38,42,46,55,60,64,66,82,84,88,96,102
1,San José,105,Tarrazú,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
